year,month,oni,
2009,1,-0.85,2009/1/1
2009,2,-0.79,2009/2/1
2009,3,-0.61,2009/3/1
2009,4,-0.33,2009/4/1
2009,5,0.01,2009/5/1
2009,6,0.28,2009/6/1
2009,7,0.45,2009/7/1
2009,8,0.58,2009/8/1
2009,9,0.71,2009/9/1
2009,10,1.01,2009/10/1
2009,11,1.36,2009/11/1
2009,12,1.56,2009/12/1
2010,1,1.5,2010/1/1
2010,2,1.22,2010/2/1
2010,3,0.84,2010/3/1
2010,4,0.35,2010/4/1
2010,5,-0.17,2010/5/1
2010,6,-0.66,2010/6/1
2010,7,-1.05,2010/7/1
2010,8,-1.35,2010/8/1
2010,9,-1.56,2010/9/1
2010,10,-1.64,2010/10/1
2010,11,-1.64,2010/11/1
2010,12,-1.59,2010/12/1
2011,1,-1.42,2011/1/1
2011,2,-1.19,2011/2/1
2011,3,-0.93,2011/3/1
2011,4,-0.73,2011/4/1
2011,5,-0.55,2011/5/1
2011,6,-0.44,2011/6/1
2011,7,-0.48,2011/7/1
2011,8,-0.62,2011/8/1
2011,9,-0.83,2011/9/1
2011,10,-1.01,2011/10/1
2011,11,-1.09,2011/11/1
2011,12,-1.04,2011/12/1
2012,1,-0.86,2012/1/1
2012,2,-0.72,2012/2/1
2012,3,-0.59,2012/3/1
2012,4,-0.47,2012/4/1
2012,5,-0.26,2012/5/1
2012,6,-0.01,2012/6/1
2012,7,0.25,2012/7/1
2012,8,0.37,2012/8/1
2012,9,0.37,2012/9/1
2012,10,0.27,2012/10/1
2012,11,0.05,2012/11/1
2012,12,-0.21,2012/12/1
2013,1,-0.43,2013/1/1
2013,2,-0.43,2013/2/1
2013,3,-0.34,2013/3/1
2013,4,-0.3,2013/4/1
2013,5,-0.36,2013/5/1
2013,6,-0.41,2013/6/1
2013,7,-0.4,2013/7/1
2013,8,-0.32,2013/8/1
2013,9,-0.26,2013/9/1
2013,10,-0.18,2013/10/1
2013,11,-0.17,2013/11/1
2013,12,-0.27,2013/12/1
2014,1,-0.42,2014/1/1
2014,2,-0.46,2014/2/1
2014,3,-0.27,2014/3/1
2014,4,0.04,2014/4/1
2014,5,0.21,2014/5/1
2014,6,0.16,2014/6/1
2014,7,0.05,2014/7/1
2014,8,0.07,2014/8/1
2014,9,0.23,2014/9/1
2014,10,0.49,2014/10/1
2014,11,0.64,2014/11/1
2014,12,0.66,2014/12/1
2015,1,0.55,2015/1/1
2015,2,0.47,2015/2/1
2015,3,0.53,2015/3/1
2015,4,0.7,2015/4/1
2015,5,0.93,2015/5/1
2015,6,1.18,2015/6/1
2015,7,1.52,2015/7/1
2015,8,1.86,2015/8/1
2015,9,2.16,2015/9/1
2015,10,2.42,2015/10/1
2015,11,2.57,2015/11/1
2015,12,2.64,2015/12/1
2016,1,2.48,2016/1/1
2016,2,2.14,2016/2/1
2016,3,1.58,2016/3/1
2016,4,0.94,2016/4/1
2016,5,0.39,2016/5/1
2016,6,-0.07,2016/6/1
2016,7,-0.36,2016/7/1
2016,8,-0.54,2016/8/1
2016,9,-0.63,2016/9/1
2016,10,-0.69,2016/10/1
2016,11,-0.67,2016/11/1
2016,12,-0.56,2016/12/1
2017,1,-0.34,2017/1/1
2017,2,-0.16,2017/2/1
2017,3,0.05,2017/3/1
2017,4,0.2,2017/4/1
2017,5,0.3,2017/5/1
2017,6,0.31,2017/6/1
2017,7,0.14,2017/7/1
2017,8,-0.11,2017/8/1
2017,9,-0.38,2017/9/1
2017,10,-0.65,2017/10/1
2017,11,-0.84,2017/11/1
2017,12,-0.97,2017/12/1
2018,1,-0.92,2018/1/1
2018,2,-0.85,2018/2/1
2018,3,-0.7,2018/3/1
2018,4,-0.5,2018/4/1
2018,5,-0.22,2018/5/1
2018,6,-0.01,2018/6/1
2018,7,0.09,2018/7/1
2018,8,0.23,2018/8/1
2018,9,0.49,2018/9/1
2018,10,0.76,2018/10/1
2018,11,0.9,2018/11/1
2018,12,0.81,2018/12/1
2019,1,0.75,2019/1/1
2019,2,0.72,2019/2/1
2019,3,0.71,2019/3/1
2019,4,0.66,2019/4/1
2019,5,0.54,2019/5/1
2019,6,0.45,2019/6/1
2019,7,0.28,2019/7/1
2019,8,0.14,2019/8/1
2019,9,0.19,2019/9/1
2019,10,0.35,2019/10/1
2019,11,0.51,2019/11/1
2019,12,0.55,2019/12/1
2020,1,0.5,2020/1/1
2020,2,0.48,2020/2/1
2020,3,0.4,2020/3/1
2020,4,0.19,2020/4/1
2020,5,-0.08,2020/5/1
2020,6,-0.3,2020/6/1
2020,7,-0.41,2020/7/1
2020,8,-0.57,2020/8/1
2020,9,-0.89,2020/9/1
2020,10,-1.17,2020/10/1
2020,11,-1.27,2020/11/1
2020,12,-1.19,2020/12/1
2021,1,-1.05,2021/1/1
2021,2,-0.93,2021/2/1
